name,stardustCollection,wormholeNavigationSkill,originPlanet,spacesuitColor,email,position_ID,department_ID
Lea,200,2,Alderaan,White,lea@skywalker.com,4d243c47-94bf-436e-a918-eeeeb9393b7f,d8742191-9bbe-455e-9bdb-d2fcad0e34a6
Lord Vader,66,5,Tatooine, Black,your@father.com,5576e024-4a40-43f0-b7c9-533c8ae7270e,1f98e726-8742-4d79-b74f-0bc41aeddefc
Rey,150,1,Jakku,Beige,rey@jediorder.com,09d93bae-44a4-4fef-aa13-2bf8d3e30a08,d8742191-9bbe-455e-9bdb-d2fcad0e34a6
Han Solo,100,5,Corellia,Blue,han@solo.com,2c845f14-351f-49cf-b186-4fdb3d9f29be,5900c1d9-7c63-4726-8d84-9f227022dae1
Padmé Amidala,180,1,Naboo,Purple,padme@naboo.com,32fb6c88-93c9-48b8-aec0-3c442dd38381,d8742191-9bbe-455e-9bdb-d2fcad0e34a6
Lando Calrissian,130,3,Socorro,Yellow,lando@calrissian.com,86757c8c-894e-4e47-8372-cb2028e5240b,fffe74e7-0bf6-4f9f-9c8d-d3da8066d1ec
Chewbacca,90,3,Kashyyyk,Brown,chewie@kashyyyk.com,6a1ab12f-ed76-4345-8266-bb7d123f96e9,d8742191-9bbe-455e-9bdb-d2fcad0e34a6
Finn,110,2,Unknown,Grey,finn@resistance.com,5576e024-4a40-43f0-b7c9-533c8ae7270e,1f98e726-8742-4d79-b74f-0bc41aeddefc
Poe Dameron,160,5,Yavin IV,Orange,poe@xwing.com,32fb6c88-93c9-48b8-aec0-3c442dd38381,d8742191-9bbe-455e-9bdb-d2fcad0e34a6
BB-8,80,2,Unknown,Orange,bb8@droid.com,cbe453c7-53ab-458a-9f8f-2eb1f3ba9d1d,fffe74e7-0bf6-4f9f-9c8d-d3da8066d1ec
R2-D2,70,3,Unknown,Blue,r2d2@droid.com,cbe453c7-53ab-458a-9f8f-2eb1f3ba9d1d,fffe74e7-0bf6-4f9f-9c8d-d3da8066d1ec
C-3PO,60,0,Unknown,Gold,c3po@droid.com,dc26ca40-2489-4da3-b29e-69e7afbed549,fffe74e7-0bf6-4f9f-9c8d-d3da8066d1ec
Kylo Ren,90,2,Chandrila,Black,kylo@firstorder.com,5576e024-4a40-43f0-b7c9-533c8ae7270e,1f98e726-8742-4d79-b74f-0bc41aeddefc
General Hux,100,0,Arkanis,Grey,hux@firstorder.com,5576e024-4a40-43f0-b7c9-533c8ae7270e,1f98e726-8742-4d79-b74f-0bc41aeddefc
Luke Skywalker,200,4,Tatooine,Orange,luke@skywalker.com,5576e024-4a40-43f0-b7c9-533c8ae7270e,1f98e726-8742-4d79-b74f-0bc41aeddefc
